Date,Open,High,Low,Close,Adj Close,Volume
2021-09-02,153.869995,154.720001,152.399994,153.649994,153.649994,71115500
2021-09-03,153.759995,154.630005,153.089996,154.300003,154.300003,57808700
2021-09-07,154.970001,157.259995,154.389999,156.690002,156.690002,82278300
2021-09-08,156.979996,157.039993,153.979996,155.110001,155.110001,74420200
2021-09-09,155.490005,156.110001,153.949997,154.070007,154.070007,57305700
2021-09-10,155.000000,155.479996,148.699997,148.970001,148.970001,140646400
2021-09-13,150.630005,151.419998,148.750000,149.550003,149.550003,102404300
2021-09-14,150.350006,151.070007,146.910004,148.119995,148.119995,109296300
2021-09-15,148.559998,149.440002,146.369995,149.029999,149.029999,83281300
2021-09-16,148.440002,148.970001,147.220001,148.789993,148.789993,68034100
2021-09-17,148.820007,148.820007,145.759995,146.059998,146.059998,129868800
2021-09-20,143.800003,144.839996,141.270004,142.940002,142.940002,123478900
2021-09-21,143.929993,144.600006,142.779999,143.429993,143.429993,75834000
2021-09-22,144.449997,146.429993,143.699997,145.850006,145.850006,76404300
2021-09-23,146.649994,147.080002,145.639999,146.830002,146.830002,64838200
2021-09-24,145.660004,147.470001,145.559998,146.919998,146.919998,53477900
2021-09-27,145.470001,145.960007,143.820007,145.369995,145.369995,74150700
2021-09-28,143.250000,144.750000,141.690002,141.910004,141.910004,108972300
2021-09-29,142.470001,144.449997,142.029999,142.830002,142.830002,74602000
2021-09-30,143.660004,144.380005,141.279999,141.500000,141.500000,88934200
2021-10-01,141.899994,142.919998,139.110107,142.649994,142.649994,94639581
